t,y
"0,00","3,19E-01"
"0,03","2,92E-01"
"0,07","2,91E-01"
"0,10","2,91E-01"
"0,13","2,46E-01"
"0,17","2,20E-01"
"0,20","1,79E-01"
"0,23","1,41E-01"
"0,27","1,40E-01"
"0,30","1,80E-01"
"0,33","2,28E-01"
"0,37","2,70E-01"
"0,40","2,79E-01"
"0,43","2,83E-01"
"0,47","2,52E-01"
"0,50","2,08E-01"
"0,53","1,52E-01"
"0,57","1,20E-01"
"0,60","1,07E-01"
"0,63","1,11E-01"
"0,67","1,10E-01"
"0,70","1,54E-01"
"0,73","1,67E-01"
"0,77","1,81E-01"
"0,80","1,73E-01"
"0,83","1,34E-01"
"0,87","8,39E-02"
"0,90","3,20E-02"
"0,93","1,34E-02"
"0,97","3,21E-03"
"1,00","-1,89E-03"
"1,03","4,58E-02"
"1,07","7,70E-02"
"1,10","8,99E-02"
"1,13","8,73E-02"
"1,17","6,97E-02"
"1,20","1,41E-02"
"1,23","-1,30E-02"
"1,27","-3,27E-02"
"1,30","-3,89E-02"
"1,33","-8,73E-03"
"1,37","1,73E-02"
"1,40","7,84E-02"
"1,43","1,18E-01"
"1,47","1,64E-01"
"1,50","1,68E-01"
"1,57","1,65E-01"
"1,60","1,23E-01"
"1,63","7,36E-02"
"1,67","6,81E-02"
"1,70","5,68E-02"
"1,73","7,77E-02"
"1,77","1,16E-01"
"1,80","1,60E-01"
"1,83","2,01E-01"
"1,87","2,52E-01"
"1,90","2,80E-01"
"1,93","2,80E-01"
"1,97","2,44E-01"
"2,00","1,70E-01"
"2,03","1,62E-01"
"2,07","1,75E-01"
"2,10","2,01E-01"
"2,13","2,34E-01"
"2,17","2,88E-01"
"2,20","3,40E-01"
"2,23","3,55E-01"
"2,27","3,49E-01"
"2,30","2,95E-01"
"2,33","2,71E-01"
"2,37","2,05E-01"
"2,40","1,97E-01"
"2,43","1,99E-01"
"2,47","2,26E-01"
"2,50","2,99E-01"
"2,53","3,56E-01"
"2,57","4,22E-01"
"2,60","4,34E-01"
"2,63","4,37E-01"
"2,67","3,88E-01"
"2,70","3,15E-01"
"2,73","2,56E-01"
"2,77","1,92E-01"
"2,80","1,79E-01"
"2,83","1,90E-01"
"2,87","2,68E-01"
"2,90","3,72E-01"
"2,93","4,33E-01"
"2,97","4,62E-01"
"3,00","4,80E-01"
"3,03","4,46E-01"
"3,07","3,64E-01"
"3,10","3,38E-01"
"3,13","3,30E-01"
"3,17","3,47E-01"
"3,20","3,89E-01"
"3,23","4,59E-01"
"3,27","5,50E-01"
"3,30","6,00E-01"
"3,33","6,14E-01"
"3,37","5,95E-01"
"3,40","5,36E-01"
"3,43","4,46E-01"
"3,47","3,28E-01"
"3,50","2,46E-01"
"3,53","2,25E-01"
"3,57","2,29E-01"
"3,60","3,28E-01"
"3,63","4,20E-01"
"3,67","4,84E-01"
"3,70","5,22E-01"
"3,73","5,24E-01"
"3,77","4,83E-01"
"3,80","3,92E-01"
"3,83","3,10E-01"
"3,87","2,54E-01"
"3,90","2,19E-01"
"3,93","2,26E-01"
"3,97","3,19E-01"
"4,00","4,32E-01"
"4,03","5,20E-01"
